price_aprox_usd,surface_covered_in_m2,lat,lon,neighbourhood
43202.91,80.0,19.487856,-99.0909786,Gustavo A. Madero
26349.48,69.0,19.289772,-99.05598,Tláhuac
57955.13,51.0,19.452689,-99.117987,Venustiano Carranza
44783.51,56.0,19.392349,-99.07093,Iztacalco
86880.01,87.0,19.348122,-99.125716,Coyoacán
68861.23,51.0,19.473415,-99.143539,Gustavo A. Madero
61537.81,52.0,19.392349,-99.07093,Iztacalco
35483.96,75.0,19.455894,-99.18355,Miguel Hidalgo
35793.4,60.0,19.414009,-99.142481,Cuauhtémoc
45310.37,65.0,19.474655,-99.189277,Azcapotzalco
22912.19,51.0,19.342083,-99.0532159,Iztapalapa
35278.86,56.0,19.525082,-99.144372,Gustavo A. Madero
51381.5,75.0,19.4302678,-99.1373136,Cuauhtémoc
50958.36,90.0,19.446852,-99.154461,Cuauhtémoc
51076.22,80.0,19.396593,-99.133163,Benito Juárez
94014.97,84.0,19.40012,-99.1532,Benito Juárez
34246.21,60.0,19.328669,-99.070529,Iztapalapa
90747.64,91.0,19.336195,-99.23692,Álvaro Obregón
60589.45,65.0,19.346609,-99.072311,Iztapalapa
97996.85,66.0,19.336195,-99.23692,Álvaro Obregón
48550.59,71.0,19.52589,-99.151703,Gustavo A. Madero
52686.48,61.0,19.376392,-99.192439,Álvaro Obregón
35185.34,72.0,19.442791,-99.124128,Cuauhtémoc
49876.55,66.0,19.38499,-99.227853,Álvaro Obregón
88513.29,55.0,19.439253,-99.163605,Cuauhtémoc
48629.62,70.0,19.377033,-99.129878,Iztapalapa
60062.59,79.0,,,Benito Juárez
52686.48,68.0,19.453691,-99.180039,Miguel Hidalgo
44161.44,51.0,19.392349,-99.07093,Iztacalco
39040.68,90.0,19.380953,-99.245651,Álvaro Obregón
90936.87,56.0,19.444584,-99.174675,Miguel Hidalgo
25822.49,65.0,19.456941,-99.156312,Cuauhtémoc
27198.6,60.0,19.307417,-99.125191,Coyoacán
59430.35,55.0,19.313175,-99.115,Coyoacán
50385.91,50.0,19.440147,-99.172286,Miguel Hidalgo
31655.09,55.0,19.517644,-99.138753,Gustavo A. Madero
84999.1,85.0,19.347664,-99.125001,Coyoacán
78502.86,70.0,19.401819,-99.184615,Miguel Hidalgo
93118.88,58.0,,,Gustavo A. Madero
65494.29,80.0,19.481886,-99.112749,Gustavo A. Madero
94835.67,90.0,19.400785,-99.147419,Benito Juárez
26943.86,90.0,19.38828,-99.195529,Álvaro Obregón
41854.14,60.0,19.365533,-99.1923,Álvaro Obregón
62711.78,59.0,19.47963,-99.093286,Gustavo A. Madero
71126.75,55.0,19.375412,-99.144234,Benito Juárez
28977.56,75.0,19.486385,-99.181492,Azcapotzalco
50579.02,62.0,19.455159,-99.200508,Miguel Hidalgo
53476.78,70.0,19.441809,-99.156423,Cuauhtémoc
52440.59,70.0,19.443903,-99.171681,Miguel Hidalgo
85668.22,65.0,19.333901,-99.240356,Álvaro Obregón
